symbol,name,reportDate,fiscalDateEnding,estimate,currency
HPMCF,HPMCF,2022-11-09,2022-09-30,,USD
HPP,Hudson Pacific Properties Inc,2022-11-02,2022-09-30,0.0033,USD
HPQ,HP Inc,2022-11-22,2022-10-31,0.8464,USD
HPTO,HPTO,2022-11-16,2022-09-30,0,USD
HPYCF,HPYCF,2022-12-20,2022-10-31,,USD
HQI,HireQuest Inc,2022-11-16,2022-09-30,0.275,USD
HQY,Healthequity Inc,2022-12-06,2022-10-31,0.3425,USD
HR,Healthcare Realty Trust Inc - Class A,2022-11-02,2022-09-30,0.0099,USD
HRB,H&R Block Inc,2022-11-01,2022-10-31,-0.26,USD
HRBR,HRBR,2022-11-04,2022-09-30,0,USD
HRC,HRC,2022-11-03,2022-09-30,,USD
HRFEF,HRFEF,2022-12-13,2022-10-31,,CAD
HRL,Hormel Foods Corp,2022-11-22,2022-10-31,0.5016,USD
HRMY,Harmony Biosciences Holdings Inc,2022-11-17,2022-09-30,0.4738,USD
HRNNF,HRNNF,2022-11-11,2022-09-30,,USD
HROW,Harrow Health Inc,2022-11-15,2022-09-30,-0.0133,USD
HRT,HireRight Holdings Corp,2022-11-17,2022-09-30,0.4583,USD
HRTFF,HRTFF,2022-10-31,2022-09-30,,CAD
HRTG,Heritage Insurance Holdings Inc,2022-11-02,2022-09-30,0.075,USD
HRTH,HRTH,2022-11-09,2022-09-30,,USD
HRTX,Heron Therapeutics Inc,2022-11-09,2022-09-30,-0.382,USD
HRUFF,HRUFF,2022-11-14,2022-09-30,,USD
HSBI,HSBI,2023-01-18,2022-12-31,,USD
HSC,Harsco Corp,2022-11-01,2022-09-30,-0.0457,USD
HSCHF,HSCHF,2022-10-31,2022-09-30,,USD
HSCS,Heart Test Laboratories Inc,2022-12-28,2022-10-31,-0.35,USD
HSDT,Helius Medical Technologies Inc - Class A,2022-11-10,2022-09-30,-0.18,USD
HSEEF,HSEEF,2022-10-31,2022-09-30,,USD
HSIC,Henry Schein Inc,2022-11-01,2022-09-30,1.15,USD
HSII,Heidrick & Struggles International Inc,2022-10-31,2022-09-30,0.86,USD
HSKA,Heska Corp (Restricted Voting),2022-11-08,2022-09-30,0.368,USD
HSNGY,HSNGY,2022-11-30,2022-09-30,0,HKD
HSON,Hudson Global Inc,2022-11-03,2022-09-30,0.86,USD
HST,Host Hotels & Resorts Inc,2022-11-02,2022-10-31,0.1883,USD
HSTO,Histogen Inc,2022-11-15,2022-09-30,-1.26,USD
HSY,Hershey Company,2022-11-04,2022-09-30,2.1,USD
HTA,HTA,2022-11-03,2022-09-30,,USD
HTBI,HomeTrust Bancshares Inc,2022-10-31,2022-09-30,0.54,USD
HTBI,HomeTrust Bancshares Inc,2023-01-26,2022-12-31,0.554,USD
HTBK,Heritage Commerce Corp,2023-01-26,2022-12-31,0.32,USD
HTBX,HTBX,2022-11-08,2022-09-30,,USD
HTCR,HeartCore Enterprises Inc,2022-11-30,2022-09-30,0.03,USD
HTGM,HTG Molecular Diagnostics Inc,2022-11-09,2022-09-30,-0.585,USD
HTH,Hilltop Holdings Inc,2023-01-26,2022-12-31,0.275,USD
HTHT,H World Group Ltd,2022-11-16,2022-09-30,-0.8219,CNY
HTIA,Healthcare Trust Inc,2022-11-30,2022-09-30,0,USD
HTLD,Heartland Express Inc,2023-01-26,2022-12-31,0.2979,USD
HTLZF,HTLZF,2022-11-21,2022-09-30,,USD
HTOO,Fusion Fuel Green Ltd - Class A,2022-11-15,2022-09-30,,EUR
HTPA,Highland Transcend Partners I Corp - Class A,2022-11-30,2022-09-30,-0.11,USD
HUBS,HubSpot Inc,2022-11-09,2022-09-30,0.5093,USD
HUGE,FSD Pharma Inc - Class B - Class B (Sub Voting),2022-12-02,2022-09-30,,USD
HUIZ,Huize Holding Ltd,2022-11-24,2022-09-30,,CNY
HUM,Humana Inc,2022-11-02,2022-09-30,6.26,USD
HUMA,Humacyte Inc,2022-11-11,2022-09-30,-0.2309,USD
HUN,Huntsman Corp,2022-11-04,2022-09-30,0.768,USD
HURC,Hurco Companies Inc,2023-01-06,2022-10-31,,USD
HURN,Huron Consulting Group Inc,2022-11-01,2022-09-30,0.9925,USD
HUSA,Houston American Energy Corp,2022-11-15,2022-09-30,,USD
HUT,Hut 8 Mining Corp,2022-11-10,2022-09-30,-0.0237,CAD
HUYA,HUYA Inc,2022-11-15,2022-09-30,-0.53,CNY
HVBC,HV Bancorp Inc,2022-11-03,2022-09-30,,USD
HVRRY,HVRRY,2022-11-03,2022-09-30,2.01,EUR
HVT,Haverty Furniture Cos. Inc,2022-11-01,2022-09-30,0.79,USD
HVT-A,Haverty Furniture Cos. Inc - Class A,2022-11-01,2022-09-30,0.79,USD
HWBK,Hawthorn Bancshares Inc,2022-11-03,2022-09-30,,USD
HWBK,Hawthorn Bancshares Inc,2023-01-26,2022-12-31,,USD
HWC,Hancock Whitney Corp,2023-01-18,2022-12-31,1.56,USD
HWKN,Hawkins Inc,2022-11-02,2022-09-30,0.659,USD
HWM,Howmet Aerospace Inc,2022-10-31,2022-09-30,0.3629,USD
HWNI,HWNI,2022-11-14,2022-09-30,,USD
HXL,Hexcel Corp,2023-01-25,2022-12-31,0.3582,USD
HY,Hyster-Yale Materials Handling Inc - Class A,2022-11-01,2022-09-30,-0.815,USD
HYFM,Hydrofarm Holdings Group Inc,2022-11-10,2022-09-30,-0.3117,USD
HYLN,Hyliion Holdings Corporation - Class A,2022-11-17,2022-09-30,-0.2117,USD
HYMC,Hycroft Mining Holding Corporation - Class A,2022-11-14,2022-09-30,-0.01,USD
HYMTF,HYMTF,2023-01-25,2022-12-31,1.99,KRW
HYPR,Hyperfine Inc - Class A,2022-11-30,2022-09-30,-0.26,USD
HYRE,HyreCar Inc,2022-11-08,2022-09-30,-0.185,USD
HYSNY,HYSNY,2022-11-30,2022-09-30,0,HKD
HYZN,Hyzon Motors Inc - Class A,2022-11-11,2022-09-30,-0.1183,USD
HZN,Horizon Global Corp,2022-11-02,2022-09-30,,USD
HZNOF,HZNOF,2022-11-08,2022-09-30,,USD
HZNP,Horizon Therapeutics Plc,2022-11-02,2022-09-30,1.06,USD
HZO,Marinemax Inc,2022-11-01,2022-09-30,1.26,USD
HZO,Marinemax Inc,2023-01-26,2022-12-31,1.58,USD
IAA,IAA Inc,2022-11-01,2022-09-30,0.5214,USD
IAC,IAC Inc - New,2022-11-03,2022-09-30,-0.5696,USD
IAFNF,IAFNF,2022-11-09,2022-09-30,,CAD
IAG,Iamgold Corp,2022-11-08,2022-09-30,-0.0235,USD
IAS,Integral Ad Science Holding Corp,2022-11-09,2022-09-30,0.0149,USD
IAUX,i80 Gold Corp,2022-11-09,2022-09-30,-0.048,USD
IBCP,Independent Bank Corporation (Ionia MI),2023-01-26,2022-12-31,0.648,USD
IBEX,IBEX Ltd,2022-11-21,2022-09-30,0.28,USD
IBIBF,IBIBF,2022-11-02,2022-09-30,,USD
IBIO,iBio Inc,2022-11-21,2022-09-30,-1.88,USD
IBKR,Interactive Brokers Group Inc - Class A,2023-01-17,2022-12-31,1.07,USD
IBM,International Business Machines Corp,2023-01-19,2022-12-31,3.8,USD
IBOC,International Bancshares Corp,2022-11-03,2022-09-30,,USD
IBP,Installed Building Products Inc,2022-11-04,2022-09-30,2.29,USD
IBRX,ImmunityBio Inc,2022-11-11,2022-09-30,-0.23,USD
IBSS,IBSS,2022-11-14,2022-09-30,0,USD
IBXNF,IBXNF,2022-11-09,2022-10-31,,USD
ICAD,Icad Inc,2022-11-09,2022-09-30,-0.125,USD
ICCC,Immucell Corp,2022-11-14,2022-09-30,,USD
ICCM,IceCure Medical Ltd,2022-11-22,2022-09-30,-0.12,USD
ICCT,ICCT,2022-11-23,2022-09-30,,USD
ICD,Independence Contract Drilling Inc,2022-11-01,2022-09-30,-0.095,USD
ICE,Intercontinental Exchange Inc,2022-11-03,2022-09-30,1.26,USD
ICFI,ICF International Inc,2022-11-03,2022-09-30,1.44,USD
ICHR,Ichor Holdings Ltd,2022-11-08,2022-09-30,0.9875,USD
ICL,ICL Group Ltd,2022-11-09,2022-09-30,0.4552,USD
ICLD,ICLD,2022-11-17,2022-09-30,0,USD
ICLK,iClick Interactive Asia Group Ltd,2022-11-29,2022-09-30,-0.025,USD
ICLR,Icon Plc,2022-11-02,2022-09-30,2.96,USD
ICLTF,ICLTF,2022-11-23,2022-09-30,,CAD
ICMB,Investcorp Credit Management BDC Inc,2022-11-08,2022-09-30,0.14,USD
ICNB,ICNB,2022-11-21,2022-09-30,,USD
ICPBF,ICPBF,2022-12-07,2022-10-31,,CAD
ICPT,Intercept Pharmaceuticals Inc,2022-11-02,2022-09-30,-0.8153,USD
ICUI,ICU Medical Inc,2022-11-07,2022-09-30,2.1,USD
ICVX,Icosavax Inc,2022-11-14,2022-09-30,-0.5375,USD
ID,L1 IDENTITY SOLUTIONS INC.,2022-11-08,2022-09-30,0.015,USD
IDBA,IDEX Biometrics ASA,2022-11-10,2022-09-30,-0.525,USD
IDCC,Interdigital Inc,2022-11-03,2022-09-30,0.4233,USD
IDEX,Ideanomics Inc,2022-11-14,2022-09-30,-0.07,USD
IDGBF,IDGBF,2022-11-09,2022-09-30,,USD
IDKFF,IDKFF,2022-11-01,2022-09-30,0,CAD
IDN,Intellicheck Inc,2022-11-09,2022-09-30,-0.06,USD
IDRA,Idera Pharmaceuticals Inc,2022-11-07,2022-09-30,-0.11,USD
IDT,IDT Corp - Class B,2022-12-06,2022-10-31,,USD
IDXG,IDXG,2022-11-15,2022-09-30,-0.25,USD
IDXX,Idexx Laboratories Inc,2022-11-01,2022-09-30,2.06,USD
IDYA,Ideaya Biosciences Inc,2022-11-16,2022-09-30,-0.6129,USD
IE,Ivanhoe Electric Inc,2022-11-30,2022-09-30,-0.225,USD
IEA,Infrastructure and Energy Alternatives Inc,2022-11-09,2022-09-30,0.5967,USD
IEP,Icahn Enterprises L P,2022-11-10,2022-09-30,0.22,USD
IESC,IES Holdings Inc,2022-12-09,2022-09-30,,USD
IFABF,IFABF,2022-12-28,2022-09-30,,CAD
IFAN,IFAN,2022-11-30,2022-08-31,0,USD
IFCZF,IFCZF,2022-11-08,2022-09-30,,USD
IFF,International Flavors & Fragrances Inc,2022-11-07,2022-09-30,1.33,USD
IFLXF,IFLXF,2022-11-24,2022-09-30,,USD
IFMK,IFMK,2022-11-17,2022-09-30,0,USD
IFNNY,IFNNY,2022-11-15,2022-09-30,0.5744,EUR
IFNY,IFNY,2022-11-03,2022-09-30,0,USD
IFRX,InflaRx N.V.,2022-11-04,2022-09-30,-0.285,EUR
IFS,Intercorp Financial Services Inc,2022-11-09,2022-09-30,3.76,PEN
IFSPF,IFSPF,2022-11-03,2022-09-30,,USD
IGC,India Globalization Capital Inc,2022-10-31,2022-09-30,,USD
IGIC,International General Insurance Holdings Ltd,2022-11-17,2022-09-30,0.3033,USD
IGIFF,IGIFF,2022-11-03,2022-09-30,,USD
IGLDF,IGLDF,2022-11-14,2022-09-30,0,ILS
IGMS,IGM Biosciences Inc,2022-11-10,2022-09-30,-1.38,USD
IGT,International Game Technology PLC,2022-11-16,2022-09-30,0.311,USD
IGXT,IGXT,2022-11-10,2022-09-30,,USD
IH,iHuman Inc,2022-12-07,2022-09-30,0.1332,CNY
IHC,IHC,2022-11-07,2022-09-30,,USD
IHRT,iHeartMedia Inc - Class A New,2022-11-10,2022-09-30,0.2138,USD
IHS,IHS Holding Ltd,2022-11-15,2022-09-30,0.0606,USD
IHT,Innsuites Hospitality Trust,2022-11-30,2022-10-31,,USD
III,Information Services Group Inc,2022-11-09,2022-09-30,0.08,USD
IIIN,Insteel Industries Inc,2023-01-19,2022-12-31,1.06,USD
IIIV,i3 Verticals Inc - Class A,2022-11-24,2022-09-30,0.3617,USD
IIJIY,IIJIY,2022-11-07,2022-09-30,0,JPY
IIN,IIN,2022-11-07,2022-09-30,,USD
IIPR,Innovative Industrial Properties Inc,2022-11-02,2022-09-30,1.33,USD
IIPZF,IIPZF,2022-11-10,2022-09-30,,CAD
IIVI,IIVI,2022-11-02,2022-09-30,0.8486,USD
IKNA,Ikena Oncology Inc,2022-11-09,2022-09-30,-0.4934,USD
IKT,Inhibikase Therapeutics Inc,2022-11-14,2022-09-30,-0.19,USD
ILMN,Illumina Inc,2022-11-03,2022-09-30,0.291,USD
ILPMY,ILPMY,2022-11-30,2022-09-30,0,USD
IMAB,I-Mab,2022-11-30,2022-09-30,-0.4998,CNY
IMAC,IMAC,2022-11-17,2022-09-30,-0.09,USD
IMBBY,IMBBY,2022-11-15,2022-09-30,1.81,GBP
IMBI,iMedia Brands Inc - Class A,2022-11-23,2022-08-31,-0.3175,USD
IMCC,IM Cannabis Corp,2022-12-02,2022-09-30,-0.0077,CAD
IMCI,Infinite Group Inc,2022-11-10,2022-09-30,0,USD
IMCR,Immunocore Holdings plc,2022-11-09,2022-09-30,-0.2418,GBP
IMGO,Imago BioSciences Inc,2022-11-09,2022-09-30,-0.454,USD
IMH,IMH,2022-11-10,2022-09-30,,USD
IMII,IMII,2022-11-30,2022-09-30,0,USD
IMKTA,Ingles Markets Inc - Class A,2022-12-13,2022-09-30,,USD
IMMP,Immutep Ltd,2022-11-30,2022-09-30,0,AUD
IMMR,Immersion Corp,2022-11-03,2022-09-30,0.18,USD
IMNM,Immunome Inc,2022-11-22,2022-09-30,-0.81,USD
IMNN,Imunon Inc,2022-11-16,2022-09-30,-0.9,USD
IMOS,Chipmos Technologies Inc,2022-11-10,2022-09-30,0.8582,TWD
IMPL,Impel Pharmaceuticals Inc,2022-11-14,2022-09-30,-0.9833,USD
IMRA,Imara Inc,2022-11-09,2022-09-30,-0.2808,USD
IMRN,Immuron Ltd,2022-11-30,2022-09-30,0,AUD
IMRX,Immuneering Corp Class A,2022-11-08,2022-09-30,-0.48,USD
IMTX,Immatics N.V,2022-12-07,2022-09-30,-0.435,EUR
IMUC,IMUC,2022-11-23,2022-09-30,0,USD
IMUN,IMUN,2022-11-30,2022-09-30,0,USD
IMUX,Immunic Inc,2022-11-10,2022-09-30,-0.682,USD
IMV,IMV Inc,2022-11-10,2022-09-30,-0.1386,USD
IMVT,Immunovant Inc,2022-11-04,2022-09-30,-0.3705,USD
IMXI,International Money Express Inc,2022-11-10,2022-09-30,0.4507,USD
INAB,IN8bio Inc,2022-11-09,2022-09-30,-0.3,USD
INAR,INAR,2022-11-22,2022-09-30,0,USD
INBK,First Internet Bancorp,2023-01-19,2022-12-31,1.2,USD
INBP,INBP,2022-11-17,2022-09-30,0,USD
INBX,Inhibrx Inc,2022-11-18,2022-09-30,-0.8962,USD
INCAF,INCAF,2022-12-28,2022-10-31,,USD
INCR,INC Research Holdings Inc,2022-11-15,2022-09-30,0.0951,ILS
INCY,Incyte Corp,2022-11-01,2022-09-30,0.5744,USD
INDB,Independent Bank Corp,2023-01-19,2022-12-31,1.47,USD
INDI,Indie Semiconductor Inc - Class A,2022-11-09,2022-09-30,-0.1083,USD
INDO,Indonesia Energy Corp Ltd,2022-11-30,2022-09-30,0,USD
INDP,Indaptus Therapeutics Inc,2022-11-14,2022-09-30,-0.53,USD
INFI,Infinity Pharmaceuticals Inc,2022-11-08,2022-09-30,-0.115,USD
INFN,Infinera Corp,2022-11-09,2022-09-30,0.0105,USD
INFU,InfuSystem Holdings Inc,2022-11-16,2022-09-30,0.0367,USD
INFY,Infosys Ltd,2023-01-13,2022-12-31,0.1888,INR
ING,ING Groep N.V.,2022-11-03,2022-09-30,0.341,EUR
INGN,Inogen Inc,2022-11-02,2022-09-30,-0.304,USD
INGR,Ingredion Inc,2022-11-03,2022-09-30,1.63,USD
INGXF,INGXF,2022-11-07,2022-09-30,,USD
INIS,INIS,2022-11-16,2022-09-30,,USD
INKA,KludeIn I Acquisition Corp - Class A,2022-11-07,2022-09-30,,USD
INKT,MiNK Therapeutics Inc,2022-11-30,2022-09-30,-0.235,USD
INLX,Intellinetics Inc,2022-11-16,2022-09-30,0.04,USD
INM,InMed Pharmaceuticals Inc,2022-11-16,2022-09-30,-4.25,CAD
INMB,INmune Bio Inc,2022-11-11,2022-09-30,-0.547,USD
INMD,Inmode Ltd,2022-11-08,2022-09-30,0.5325,USD
INN,Summit Hotel Properties Inc,2022-11-02,2022-09-30,-0.01,USD
INNV,InnovAge Holding Corp,2022-11-08,2022-09-30,-0.0295,USD
INO,Inovio Pharmaceuticals Inc,2022-11-09,2022-09-30,-0.2871,USD
INOD,Innodata Inc,2022-11-10,2022-09-30,,USD
INOV,INOV,2022-11-07,2022-09-30,,USD
INPX,Inpixon,2022-11-16,2022-09-30,,USD
INSE,Inspired Entertainment Inc,2022-11-16,2022-09-30,0.28,USD
INSG,Inseego Corp,2022-11-09,2022-09-30,-0.0975,USD
INSM,Insmed Inc,2022-11-03,2022-09-30,-0.8806,USD
INSP,Inspire Medical Systems Inc,2022-11-01,2022-09-30,-0.7589,USD
INST,Instructure Holdings Inc,2022-11-07,2022-09-30,0.25,USD
INSW,International Seaways Inc,2022-11-10,2022-09-30,2.11,USD
INTA,Intapp Inc,2022-11-09,2022-09-30,-0.036,USD
INTC,Intel Corp,2023-01-26,2022-12-31,0.7408,USD
INTEQ,INTEQ,2022-11-02,2022-09-30,,USD
INTG,Intergroup Corp,2022-11-15,2022-09-30,,USD
INTI,INTI,2022-11-15,2022-09-30,0,USD
INTR,Inter & Co Inc - Class A,2022-11-30,2022-09-30,0.0069,BRL
INTT,Intest Corp,2022-11-03,2022-09-30,0.29,USD
INTU,Intuit Inc,2022-11-21,2022-10-31,1.22,USD
INTV,INTV,2022-11-10,2022-09-30,,USD
INTWF,INTWF,2022-11-14,2022-09-30,,CAD
INTZ,Intrusion Inc,2022-11-14,2022-09-30,-0.18,USD
INUV,Inuvo Inc,2022-11-10,2022-09-30,-0.005,USD
INVA,Innoviva Inc,2022-11-02,2022-09-30,2.21,USD
INVE,Identiv Inc,2022-11-10,2022-09-30,0.104,USD
INVI,INVI,2022-11-15,2022-09-30,0,USD
INVO,INVO Bioscience Inc,2022-11-16,2022-09-30,-0.13,USD
INVU,INVU,2022-11-21,2022-09-30,,USD
INVZ,Innoviz Technologies Ltd,2022-11-09,2022-09-30,-0.2533,USD
INXSF,INXSF,2022-11-23,2022-09-30,,USD
INZY,Inozyme Pharma Inc,2022-11-17,2022-09-30,-0.4414,USD
IO,IO,2022-11-01,2022-09-30,,USD
IOBT,IO Biotech Inc,2022-11-30,2022-09-30,-0.725,USD
IOCJY,IOCJY,2022-11-09,2022-09-30,0.0431,BRL
IOGPQ,IOGPQ,2022-11-01,2022-09-30,,USD
IONM,Assure Holdings Corp,2022-11-29,2022-09-30,-0.065,USD
IONQ,IonQ Inc,2022-11-14,2022-09-30,-0.098,USD
IONS,Ionis Pharmaceuticals Inc,2022-11-02,2022-09-30,-0.7179,USD
IOR,Income Opportunity Realty Investors Inc,2022-11-17,2022-09-30,,USD
IOSP,Innospec Inc,2022-11-08,2022-09-30,1.42,USD
IOT,Samsara Inc - Class A,2022-12-28,2022-10-31,-0.06,USD
IOUFF,IOUFF,2022-11-16,2022-09-30,,USD
IOVA,Iovance Biotherapeutics Inc,2022-11-09,2022-09-30,-0.6379,USD
IPA,ImmunoPrecise Antibodies Ltd,2022-12-12,2022-10-31,,CAD
IPAR,Inter Parfums Inc,2022-11-07,2022-09-30,0.9856,USD
IPCFF,IPCFF,2022-11-01,2022-09-30,,USD
IPDN,Professional Diversity Network Inc,2022-11-14,2022-09-30,,USD
IPGP,IPG Photonics Corp,2022-11-01,2022-09-30,1.16,USD
IPHA,Innate Pharma,2022-11-14,2022-09-30,0,EUR
IPI,Intrepid Potash Inc,2022-10-31,2022-09-30,1.75,USD
IPIC,IPIC,2022-11-09,2022-09-30,0,USD
IPLY,IPLY,2022-11-21,2022-09-30,0,USD
IPMLF,IPMLF,2022-11-07,2022-09-30,,USD
IPOOF,IPOOF,2022-11-08,2022-09-30,,USD
IPSC,Century Therapeutics Inc,2022-11-09,2022-09-30,-0.5883,USD
IPW,iPower Inc,2022-11-10,2022-09-30,0.035,USD
IPWR,Ideal Power Inc,2022-11-17,2022-09-30,-0.31,USD
IQ,iQIYI Inc,2022-11-01,2022-09-30,0.0844,CNY
IQEPF,IQEPF,2022-11-23,2022-09-30,0,USD
IQST,IQST,2022-11-14,2022-09-30,,USD
IR,Ingersoll-Rand Inc,2022-11-02,2022-09-30,0.5951,USD
IRBT,Irobot Corp,2022-11-02,2022-09-30,1.37,USD
IREN,Iris Energy Ltd,2022-11-30,2022-09-30,-0.1216,AUD
IRIX,IRIDEX Corp,2022-11-03,2022-09-30,-0.13,USD
IRLTY,IRLTY,2022-11-28,2022-09-30,0,USD
IRM,Iron Mountain Inc,2022-11-03,2022-09-30,0.4431,USD
IRMD,Iradimed Corp,2022-11-02,2022-09-30,0.24,USD
IRMTF,IRMTF,2022-11-02,2022-09-30,,USD
IRNT,IronNet Inc,2022-12-15,2022-09-30,-0.205,USD
IROQ,IF Bancorp Inc,2022-10-31,2022-09-30,,USD
IROQ,IF Bancorp Inc,2023-01-26,2022-12-31,,USD
IRS,Irsa Inversiones Y Representaciones S.A.,2022-11-10,2022-09-30,0,ARS
IRTC,iRhythm Technologies Inc,2022-11-02,2022-09-30,-0.8339,USD
IRWD,Ironwood Pharmaceuticals Inc - Class A,2022-11-03,2022-09-30,0.3192,USD
IS,ironSource Ltd - Class A,2022-11-09,2022-09-30,0.035,USD
ISBC,Investors Bancorp Inc,2023-01-24,2022-12-31,,USD
ISCO,ISCO,2022-11-17,2022-09-30,0,USD
ISDAF,ISDAF,2022-11-21,2022-09-30,,USD
ISDR,Issuer Direct Corp,2022-11-03,2022-09-30,0.24,USD
ISEE,IVERIC bio Inc,2022-11-08,2022-09-30,-0.3996,USD
ISGN,ISGN,2022-11-16,2022-09-30,0,USD
ISIG,Insignia Systems Inc,2022-11-16,2022-09-30,,USD
ISNPY,ISNPY,2022-11-04,2022-09-30,0.2485,EUR
ISO,IsoPlexis Corp,2022-11-09,2022-09-30,-0.42,USD
ISPC,iSpecimen Inc,2022-11-03,2022-09-30,-0.29,USD
ISPO,Inspirato Incorporated - Class A,2022-11-09,2022-09-30,-0.0575,USD
ISR,Isoray Inc,2022-11-15,2022-09-30,-0.01,USD
ISRG,Intuitive Surgical Inc,2023-01-26,2022-12-31,1.24,USD
ISRJF,ISRJF,2022-11-24,2022-09-30,,USD
ISSC,Innovative Solutions And Support Inc,2022-12-14,2022-09-30,0.1,USD
ISTR,Investar Holding Corp,2023-01-26,2022-12-31,0.6675,USD
ISUN,iSun Inc,2022-11-16,2022-09-30,0.105,USD
ISUZY,ISUZY,2022-11-07,2022-09-30,0.2977,JPY
ISVLF,ISVLF,2022-11-21,2022-09-30,,USD
IT,Gartner Inc,2022-11-03,2022-09-30,1.87,USD
ITCI,Intra-Cellular Therapies Inc,2022-11-09,2022-09-30,-0.8075,USD
ITEX,ITEX,2022-12-14,2022-10-31,0,USD
ITHUF,ITHUF,2022-11-29,2022-09-30,,USD
ITI,Iteris Inc,2022-11-08,2022-09-30,-0.01,USD
ITIC,Investors Title Company,2022-11-03,2022-09-30,,USD
ITMSF,ITMSF,2022-11-16,2022-09-30,,USD
ITOCY,ITOCY,2022-11-04,2022-09-30,1.56,JPY
ITOS,ITeos Therapeutics Inc,2022-11-17,2022-09-30,-0.1282,USD
ITP,IT Tech Packaging Inc,2022-11-10,2022-09-30,,USD
ITPOF,ITPOF,2022-11-10,2022-09-30,,USD
ITRG,Integra Resources Corp,2022-12-02,2022-09-30,-0.0622,CAD
ITRI,Itron Inc,2022-11-07,2022-09-30,0.2451,USD
ITRM,Iterum Therapeutics Plc,2022-11-15,2022-09-30,-1.05,USD
ITRN,Ituran Location And Control Ltd,2022-11-16,2022-09-30,0.49,USD
ITT,ITT Inc,2022-11-03,2022-09-30,1.18,USD
ITUB,Itau Unibanco Holding S.A.,2022-11-10,2022-09-30,0.1528,BRL
IVA,Inventiva,2022-11-10,2022-09-30,0,EUR
IVAC,Intevac Inc,2022-10-31,2022-09-30,-0.16,USD
IVC,Invacare Corp,2022-11-08,2022-09-30,-0.37,USD
IVDA,Iveda Solutions Inc,2022-11-30,2022-09-30,-0.03,USD
IVFH,IVFH,2022-11-21,2022-09-30,,USD
IVPAF,IVPAF,2022-11-14,2022-09-30,0.0823,USD
IVR,Invesco Mortgage Capital Inc,2022-11-09,2022-09-30,0.8833,USD
IVREF,IVREF,2022-11-08,2022-09-30,,USD
IVT,InvenTrust Properties Corp,2022-11-01,2022-09-30,0.02,USD
IVVD,Invivyd Inc,2022-11-14,2022-09-30,-0.4375,USD
IVZ,Invesco Ltd,2023-01-24,2022-12-31,0.4813,USD
IWSH,IWSH,2022-11-09,2022-09-30,0,USD
IWSY,IWSY,2022-11-15,2022-09-30,,USD
IX,Orix Corporation,2022-11-07,2022-09-30,2.5,JPY
IZEA,IZEA Worldwide Inc,2022-11-17,2022-09-30,-0.01,USD
J,Jacobs Solutions Inc,2022-11-22,2022-09-30,1.81,USD
JACK,Jack In The Box Inc,2022-11-21,2022-09-30,1.35,USD
JAGGF,JAGGF,2022-11-09,2022-09-30,,USD
JAGX,Jaguar Health Inc,2022-11-16,2022-09-30,-0.075,USD
JAMF,Jamf Holding Corp,2022-11-17,2022-09-30,0.0265,USD
JAMN,JAMN,2022-11-09,2022-10-31,0,USD
JAN,JanOne Inc,2022-11-15,2022-09-30,0,USD
JANX,Janux Therapeutics Inc,2022-11-08,2022-09-30,-0.4567,USD
JAPAY,JAPAY,2022-10-31,2022-09-30,0.1753,JPY
JAZZ,Jazz Pharmaceuticals plc,2022-11-08,2022-09-30,4.66,USD
JBGS,JBG SMITH Properties,2022-11-01,2022-09-30,-0.2,USD
JBHT,J.B. Hunt Transport Services Inc,2023-01-19,2022-12-31,2.48,USD
JBI,Janus International Group Inc - Class A,2022-11-08,2022-09-30,0.1711,USD
JBL,Jabil Inc,2022-12-20,2022-11-30,2.25,USD
JBLU,Jetblue Airways Corp,2023-01-26,2022-12-31,0.1912,USD
JBSAY,JBSAY,2022-11-10,2022-09-30,0.6525,USD
JBSS,Sanfilippo (John B.) & Son Inc,2022-10-31,2022-09-30,1.25,USD
JCI,Johnson Controls International plc,2022-11-10,2022-09-30,0.985,USD
JCS,JCS,2022-11-14,2022-09-30,,USD
JCTCF,Jewett-Cameron Trading Co. Ltd,2022-11-16,2022-08-31,,USD
JCTCF,Jewett-Cameron Trading Co. Ltd,2023-01-17,2022-11-30,,USD
JD,JD.com Inc,2022-11-17,2022-09-30,4.75,CNY
JECFF,JECFF,2022-11-28,2022-09-30,,USD
JEF,Jefferies Financial Group Inc,2023-01-11,2022-12-31,0.595,USD
JELD,JELD-WEN Holding Inc,2022-11-08,2022-09-30,0.4564,USD
JENGQ,JENGQ,2022-11-09,2022-09-30,,USD
JERT,JERT,2022-11-08,2022-09-30,0,USD
JETMF,JETMF,2022-11-21,2022-09-30,0,USD
JFBC,JFBC,2022-11-15,2022-09-30,,USD
JFIN,Jiayin Group Inc,2022-11-29,2022-09-30,2.61,CNY
JFU,9F Inc,2022-12-08,2022-09-30,0,CNY
JG,Aurora Mobile Ltd,2022-11-22,2022-09-30,-0.3342,CNY
JHI,John Hancock Investors Trust,2022-12-30,2022-09-30,,USD
JHX,James Hardie Industries plc,2022-11-07,2022-09-30,0.4119,USD
JILL,J.Jill Inc,2022-12-07,2022-10-31,0.48,USD
JINFF,JINFF,2022-11-17,2022-09-30,,USD
JJSF,J&J Snack Foods Corp,2022-11-14,2022-09-30,0.906,USD
JKHY,Jack Henry & Associates Inc,2022-11-08,2022-09-30,1.44,USD
JKS,JinkoSolar Holding Co. Ltd,2022-11-29,2022-09-30,4.07,CNY
