symbol,name,reportDate,fiscalDateEnding,estimate,currency
AINC,Ashford Inc,2022-11-02,2022-09-30,1.35,USD
AINV,AINV,2022-11-03,2022-09-30,0.3571,USD
AIP,Arteris Inc,2022-11-29,2022-09-30,-0.14,USD
AIR,AAR Corp,2022-12-22,2022-11-30,0.6467,USD
AIRC,Apartment Income REIT Corp - Class A,2022-11-03,2022-09-30,0.2011,USD
AIRG,Airgain Inc,2022-11-10,2022-09-30,0.044,USD
AIRI,Air Industries Group,2022-11-03,2022-09-30,0.02,USD
AIRS,Airsculpt Technologies Inc,2022-12-02,2022-09-30,0.0233,USD
AIRT,Air T Inc,2022-11-15,2022-09-30,,USD
AIT,Applied Industrial Technologies Inc,2023-01-26,2022-12-31,1.58,USD
AIU,Meta Data Ltd,2022-11-03,2022-08-31,0,CNY
AIV,Apartment Investment & Management Co. - Class A,2022-11-03,2022-09-30,0.0065,USD
AIVN,AIVN,2022-11-02,2022-08-31,0,USD
AIZ,Assurant Inc,2022-11-01,2022-09-30,2.27,USD
AJG,Arthur J. Gallagher & Company,2023-01-26,2022-12-31,1.55,USD
AJINY,AJINY,2022-11-07,2022-09-30,0.2791,USD
AJX,Great Ajax Corp,2022-11-08,2022-09-30,0.2675,USD
AJXGF,AJXGF,2022-11-14,2022-09-30,,USD
AKA,a.k.a. Brands Holding Corp,2022-11-08,2022-09-30,0.0192,USD
AKAM,Akamai Technologies Inc,2022-10-31,2022-09-30,1.22,USD
AKBA,Akebia Therapeutics Inc,2022-11-10,2022-09-30,-0.1767,USD
AKLI,Akili Inc,2022-11-30,2022-09-30,0,USD
AKRFF,AKRFF,2022-11-02,2022-09-30,,USD
AKRO,Akero Therapeutics Inc,2022-11-16,2022-09-30,-0.7708,USD
AKTAF,AKTAF,2022-11-03,2022-09-30,,USD
AKTS,Akoustis Technologies Inc,2022-11-07,2022-09-30,-0.18,USD
AKTX,Akari Therapeutics Plc,2022-11-17,2022-09-30,,USD
AKU,Akumin Inc,2022-11-17,2022-09-30,-0.2212,USD
AKUS,Akouos Inc,2022-11-17,2022-09-30,-0.642,USD
AKYA,Akoya Biosciences Inc,2022-11-07,2022-09-30,-0.416,USD
AL,Air Lease Corp - Class A,2022-11-03,2022-09-30,1.05,USD
ALAN,ALAN,2022-11-15,2022-09-30,0,USD
ALB,Albemarle Corp,2022-11-02,2022-09-30,6.78,USD
ALBKY,ALBKY,2022-11-08,2022-09-30,0.0092,USD
ALBO,Albireo Pharma Inc,2022-11-15,2022-09-30,-2.08,USD
ALBY,ALBY,2022-11-17,2022-09-30,0,USD
ALC,Alcon Inc,2022-11-15,2022-09-30,0.4875,USD
ALCO,Alico Inc,2022-12-08,2022-09-30,-0.24,USD
ALDX,Aldeyra Therapeutics Inc,2022-11-10,2022-09-30,-0.3438,USD
ALE,Allete Inc,2022-11-09,2022-09-30,0.746,USD
ALEC,Alector Inc,2022-11-15,2022-09-30,-0.4816,USD
ALEX,Alexander & Baldwin Inc,2022-11-03,2022-09-30,0.16,USD
ALG,Alamo Group Inc,2022-11-02,2022-09-30,2.4,USD
ALGS,Aligos Therapeutics Inc,2022-11-03,2022-09-30,-0.58,USD
ALHC,Alignment Healthcare Inc,2022-11-03,2022-09-30,-0.2436,USD
ALIF,ALIF,2022-11-11,2022-09-30,0,USD
ALIM,Alimera Sciences Inc,2022-11-02,2022-09-30,-0.4,USD
ALIT,Alight Inc - Class A,2022-11-08,2022-09-30,0.1003,USD
ALIZY,ALIZY,2022-11-10,2022-09-30,0.498,EUR
ALJJ,ALJJ,2022-12-19,2022-09-30,,USD
ALK,Alaska Air Group Inc,2023-01-26,2022-12-31,1.4,USD
ALKT,Alkami Technology Inc,2022-11-03,2022-09-30,-0.0728,USD
ALL,Allstate Corp (The),2022-11-02,2022-09-30,0.5556,USD
ALLG,Allego NV,2022-11-30,2022-09-30,-0.035,EUR
ALLK,Allakos Inc,2022-11-15,2022-09-30,-0.7903,USD
ALLO,Allogene Therapeutics Inc,2022-11-09,2022-09-30,-0.6444,USD
ALLR,Allarity Therapeutics Inc,2022-11-30,2022-09-30,-0.45,USD
ALLT,Allot Ltd,2022-11-08,2022-09-30,-0.285,USD
ALLXF,ALLXF,2022-11-08,2022-09-30,0.01,USD
ALLY,Ally Financial Inc,2023-01-20,2022-12-31,1.62,USD
ALMTF,ALMTF,2022-11-16,2022-09-30,,USD
ALNA,ALNA,2022-11-09,2022-09-30,-0.05,USD
ALNAQ,ALNAQ,2022-11-09,2022-09-30,-0.05,USD
ALNPY,ALNPY,2022-10-31,2022-09-30,0.0543,JPY
ALOT,AstroNova Inc,2022-11-23,2022-10-31,0.12,USD
ALPMY,ALPMY,2022-10-31,2022-09-30,0.2519,JPY
ALPN,Alpine Immune Sciences Inc,2022-11-17,2022-09-30,-0.1125,USD
ALPP,Alpine 4 Holdings Inc - Class A,2022-11-03,2022-09-30,-0.02,USD
ALR,AlerisLife Inc,2022-11-02,2022-09-30,-0.17,USD
ALRM,Alarm.com Holdings Inc,2022-11-09,2022-09-30,0.4987,USD
ALRN,Aileron Therapeutics Inc,2022-11-10,2022-09-30,-0.0825,USD
ALRS,Alerus Financial Corp,2023-01-25,2022-12-31,0.6367,USD
ALSMY,ALSMY,2022-11-09,2022-09-30,0,USD
ALT,Altimmune Inc,2022-11-15,2022-09-30,-0.4917,USD
ALTG,Alta Equipment Group Inc - Class A,2022-11-17,2022-09-30,0.14,USD
ALTO,Alto Ingredients Inc,2022-11-08,2022-09-30,0.14,USD
ALTR,Altair Engineering Inc - Class A,2022-11-03,2022-09-30,0.1,USD
ALVOF,ALVOF,2022-11-07,2022-09-30,,USD
ALVR,AlloVir Inc,2022-11-15,2022-09-30,-0.5522,USD
